Team Name,Against Team,Date,Home Team,Away Team,FT,HT,HTFT,ATFT,HTHT,ATHT,Result,Half-Time Result,Half-Time leading team Win?,MainTeamW_L,MainTeamW_LBin,HTWL,ATWL,HTWS,ATWS,HTBS,ATBS,HTTR,ATTR,Grouped Team Rating,Against Team Rating,Home Team Rating,Away Team Rating,MatchFixtureRating
Aston Villa,Everton,05-11-2000,Everton,Aston Villa,0-1,0-0,0,1,0,0,Aston Villa,Draw,Draw,W,2,L,W,0,8,0,1,0,9,3.27303,3.77663,4.08876,3.39474,9
Everton,Aston Villa,05-11-2000,Everton,Aston Villa,0-1,0-0,0,1,0,0,Aston Villa,Draw,Draw,L,0,L,W,0,8,0,1,0,9,3.77663,3.27303,4.08876,3.39474,-9
Derby,West Ham,06-11-2000,Derby,West Ham,0-0,0-0,0,0,0,0,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,1.83333,3.20641,2.29825,3.03901,0
West Ham,Derby,06-11-2000,Derby,West Ham,0-0,0-0,0,0,0,0,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,3.20641,1.83333,2.29825,3.03901,0
Arsenal,Derby,11-11-2000,Arsenal,Derby,0-0,0-0,0,0,0,0,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,6.11391,1.83333,5.85799,1.36842,0
Aston Villa,Tottenham,11-11-2000,Aston Villa,Tottenham,2-0,1-0,2,0,1,0,Aston Villa,Aston Villa,Yes,W,2,W,L,3,0,7,0,10,0,3.27303,4.57396,3.15132,4.36391,10
Bradford,Everton,11-11-2000,Bradford,Everton,0-1,0-0,0,1,0,0,Everton,Draw,Draw,L,0,L,W,0,8,0,1,0,9,1.42105,3.77663,1.89474,3.46450,-9
Charlton,Ipswich,11-11-2000,Ipswich,Charlton,2-0,0-0,2,0,0,0,Ipswich,Draw,Draw,L,0,W,L,3,0,2,0,5,0,3.31955,3.63158,3.31579,3.11278,-5
Derby,Arsenal,11-11-2000,Arsenal,Derby,0-0,0-0,0,0,0,0,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,1.83333,6.11391,5.85799,1.36842,0
Everton,Bradford,11-11-2000,Bradford,Everton,0-1,0-0,0,1,0,0,Everton,Draw,Draw,W,2,L,W,0,8,0,1,0,9,3.77663,1.42105,1.89474,3.46450,9
